Westside Elementary,"$19,128 ","$40,250 "
Seiad Elementary,"$22,444 ","$47,969 "
Solvang Elementary,"$9,326 ","$89,104 "
Gorman Joint,"$15,585 ","$82,500 "
Vallejo City Unified,"$13,268 ","$69,300 "
Trinity Center Elementary,"$24,143 ","$39,750 "
Santa Ynez Valley Union High,"$13,573 ","$92,708 "
Cucamonga Elementary,"$13,979 ","$65,634 "
West Covina Unified,"$14,780 ","$86,748 "
Upland Unified,"$12,066 ","$75,048 "
South Pasadena Unified,"$11,279 ","$104,370 "
Alum Rock Union Elementary,"$16,178 ","$79,946 "
Forestville Union Elementary,"$18,772 ","$66,971 "
Washington Unified - West Sacramento,"$12,907 ","$70,699 "
Monterey Peninsula Unified,"$12,472 ","$72,666 "
Bellevue Union,"$14,071 ","$64,601 "
Santa Maria Joint Union High,"$13,174 ","$69,070 "
San Ysidro Elementary,"$15,000 ","$59,926 "
Garfield Elementary,"$13,453 ","$94,028 "
Manzanita Elementary,"$10,290 ","$83,162 "
Richmond Elementary,"$9,358 ","$87,813 "
El Monte City,"$16,558 ","$51,723 "
Norris Elementary,"$8,683 ","$118,190 "
Jamul-Dulzura Union Elementary,"$11,824 ","$102,663 "
Lone Pine Unified,"$17,442 ","$47,083 "
Anaheim Elementary,"$13,560 ","$66,504 "
Pacific Union Elementary - Fresno,"$16,106 ","$53,750 "
Jurupa Unified,"$12,873 ","$69,873 "
Bridgeville Elementary,"$22,655 ","$48,594 "
Robla Elementary,"$15,105 ","$58,676 "
Manteca Unified,"$12,178 ","$73,257 "
Beaumont Unified,"$11,807 ","$75,103 "
Lewiston Elementary,"$18,593 ","$41,136 "
Moreno Valley Unified,"$14,013 ","$64,003 "
Monte Rio Union Elementary,"$20,690 ","$58,642 "
Marcum-Illinois Union Elementary,"$14,616 ","$60,875 "
Mountain Union Elementary,"$18,863 ","$39,583 "
Ballico-Cressey Elementary,"$12,180 ","$72,946 "
Vallecitos Elementary,"$13,634 ","$65,625 "
El Rancho Unified,"$13,058 ","$68,467 "
Sweetwater Union High,"$12,831 ","$69,583 "
Bitterwater-Tully Elementary,"$10,371 ","$81,875 "
Moorpark Unified,"$10,939 ","$107,703 "
Pittsburg Unified,"$13,431 ","$66,535 "
Savanna Elementary,"$12,462 ","$71,306 "
Plumas Unified,"$15,511 ","$55,955 "
Vallecito Union,"$15,430 ","$56,234 "
Grant Elementary,"$11,647 ","$104,500 "
San Lucas Union Elementary,"$15,356 ","$56,591 "
La Mesa-Spring Valley,"$12,472 ","$70,997 "
Hornbrook Elementary,"$23,533 ","$45,156 "
Ontario-Montclair,"$14,721 ","$59,635 "
Travis Unified,"$11,362 ","$106,068 "
Gold Oak Union Elementary,"$10,707 ","$79,487 "
Sacramento City Unified,"$14,667 ","$59,648 "
Bellflower Unified,"$13,391 ","$65,982 "
Davis Joint Unified,"$12,987 ","$67,918 "
Leggett Valley Unified,"$22,063 ","$22,500 "
Whittier City Elementary,"$12,453 ","$70,564 "
Yosemite Unified,"$12,509 ","$70,156 "
Cayucos Elementary,"$19,756 ","$64,635 "
Bennett Valley Union Elementary,"$11,660 ","$105,191 "
Alhambra Unified,"$14,392 ","$60,647 "
Albany City Unified,"$13,548 ","$95,783 "
San Luis Coastal Unified,"$13,356 ","$65,800 "
Little Shasta Elementary,"$18,190 ","$41,458 "
Santa Maria-Bonita,"$13,843 ","$63,134 "
Anderson Valley Unified,"$17,184 ","$46,386 "
Mountain Empire Unified,"$14,510 ","$59,746 "
Warner Unified,"$22,897 ","$49,333 "
Pleasant Ridge Union Elementary,"$11,061 ","$76,804 "
Winship-Robbins,"$16,441 ","$49,821 "
Southern Trinity Joint Unified,"$27,516 ","$26,500 "
Irvine Unified,"$11,451 ","$106,905 "
William S. Hart Union High,"$11,989 ","$104,240 "
Montgomery Elementary,"$24,273 ","$42,857 "
Briggs Elementary,"$11,837 ","$72,647 "
Sanger Unified,"$12,337 ","$70,134 "
Lodi Unified,"$12,898 ","$67,240 "
Long Beach Unified,"$13,175 ","$65,851 "
Temple City Unified,"$11,524 ","$74,057 "
Durham Unified,"$11,501 ","$74,167 "
Glendale Unified,"$12,505 ","$69,114 "
South Bay Union Elementary,"$12,869 ","$67,258 "
Delphic Elementary,"$13,550 ","$63,750 "
Oak View Union Elementary,"$11,285 ","$75,054 "
Guerneville Elementary,"$20,614 ","$61,563 "
Brentwood Union Elementary,"$11,198 ","$108,769 "
Rialto Unified,"$14,090 ","$60,828 "
Lemon Grove,"$13,471 ","$63,911 "
Willow Creek Elementary,"$23,742 ","$46,111 "
Goleta Union Elementary,"$16,461 ","$82,599 "
Loleta Union Elementary,"$15,358 ","$54,306 "
Snelling-Merced Falls Union Elementary,"$15,667 ","$52,750 "
Mountain View Elementary - El Monte,"$16,305 ","$49,503 "
Riverbank Unified,"$14,467 ","$58,671 "
Columbia Elementary,"$12,956 ","$66,212 "
Hope Elementary - Porterville,"$11,311 ","$74,345 "
Mt. Diablo Unified,"$13,284 ","$98,809 "
East Nicolaus Joint Union High,"$12,096 ","$70,400 "
Buckeye Union Elementary,"$10,926 ","$110,615 "
Igo Ono Platina Union Elementary,"$18,698 ","$37,188 "
Monroe Elementary,"$15,867 ","$51,346 "
Compton Unified,"$15,206 ","$54,613 "
Soledad Unified,"$13,498 ","$63,142 "
Woodland Joint Unified,"$12,383 ","$68,687 "
Panama-Buena Vista Union,"$11,864 ","$71,198 "
Cajon Valley Union,"$13,136 ","$64,818 "
Old Adobe Union,"$13,559 ","$97,929 "
Oceanside Unified,"$13,154 ","$64,597 "
Silver Valley Unified,"$15,275 ","$53,898 "
Gilroy Unified,"$12,490 ","$103,388 "
Williams Unified,"$12,780 ","$66,333 "
River Delta Joint Unified,"$13,088 ","$64,701 "
Blake Elementary,"$16,692 ","$82,500 "
Waterford Unified,"$13,966 ","$60,304 "
Hughes-Elizabeth Lakes Union Elementary,"$10,342 ","$78,415 "
Black Oak Mine Unified,"$11,581 ","$72,146 "
Salinas Union High,"$12,953 ","$65,268 "
Linden Unified,"$12,259 ","$68,706 "
Rescue Union Elementary,"$10,836 ","$111,996 "
Newman-Crows Landing Unified,"$13,285 ","$63,512 "
Happy Valley Union Elementary,"$13,391 ","$62,955 "
Johnstonville Elementary,"$10,381 ","$77,946 "
Inglewood Unified,"$14,601 ","$56,766 "
Sierra Sands Unified,"$12,280 ","$68,347 "
Central Union Elementary,"$15,290 ","$53,275 "
