National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0606540,Burrel Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93656,15598.3606557377,8188.52459016393,368.852459016393,3508.19672131148,3532.7868852459,122
0606570,Burton Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,93257,12563.5359116022,7765.09105790874,1478.0028647432,1542.05033763045,1778.39165131983,4887
0691002,Butte County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95965,165622.549019608,45061.2745098039,83992.6470588235,30085.7843137255,6482.8431372549,408
0606580,Butte Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96023,14772.2772277228,8135.31353135314,666.666666666667,2617.16171617162,3353.13531353135,303
0606690,Butteville Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96094,10482.0512820513,6425.64102564103,97.4358974358974,1876.92307692308,2082.05128205128,195
0606720,Buttonwillow Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93206,16073.6196319018,9024.53987730061,1088.95705521472,2929.44785276074,3030.67484662577,326
0606750,Byron Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,94514,11895.593220339,7658.30508474576,1156.61016949153,1393.22033898305,1687.45762711864,1475
0606780,Cabrillo Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94019,12773.1598984772,7580.58375634518,1728.74365482233,1893.08375634518,1570.74873096447,3152
0606810,Cajon Valley Union,CALIFORNIA,01-Elementary school system only,KG,08,92022,13136.0854434177,8365.47461898476,1503.12012480499,1657.86631465259,1609.6243849754,16666
0691003,Calaveras County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95221,31638.5542168675,13022.0883534137,9409.63855421687,7449.79919678715,1757.0281124498,498
0606870,Calaveras Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95249,12558.9907604833,7823.73845060412,695.4513148543,1718.90547263682,2320.89552238806,2814
0606900,Calexico Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92231,13960.5234696085,7976.42223664287,1748.43175427212,1806.61907852044,2429.05040017305,9246
0606960,Caliente Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93518,16122.4489795918,7571.42857142857,0,4979.59183673469,3571.42857142857,49
0606990,Calipatria Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92233,15098.5915492958,8617.07746478873,1037.85211267606,2442.78169014085,3000.88028169014,1136
0607020,Calistoga Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94515,20461.2716763006,13264.7398843931,1094.79768786127,3376.87861271676,2724.85549132948,865
0607140,Cambrian,CALIFORNIA,01-Elementary school system only,KG,08,95124,11133.6790550274,7424.94958225295,936.041486603284,1392.9703255546,1379.71766061654,3471
0607170,Camino Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95709,11694.0928270042,7871.30801687764,286.919831223629,1616.03375527426,1919.83122362869,474
